subject,count,link
"Breweries",1,"http://localhost:4000/browse/#breweries"
"Buildings",5,"http://localhost:4000/browse/#buildings"
"Campuses",4,"http://localhost:4000/browse/#campuses"
"Clock towers (towers)",1,"http://localhost:4000/browse/#clock%20towers%20(towers)"
"County courthouses",3,"http://localhost:4000/browse/#county%20courthouses"
"Farms",2,"http://localhost:4000/browse/#farms"
"Fields (land)",1,"http://localhost:4000/browse/#fields%20(land)"
"Flagpoles",1,"http://localhost:4000/browse/#flagpoles"
"Flags",1,"http://localhost:4000/browse/#flags"
"High schools (buildings)",1,"http://localhost:4000/browse/#high%20schools%20(buildings)"
"Historic buildings",2,"http://localhost:4000/browse/#historic%20buildings"
"Horse-drawn vehicles",2,"http://localhost:4000/browse/#horse-drawn%20vehicles"
"Hotels (public accommodations)",1,"http://localhost:4000/browse/#hotels%20(public%20accommodations)"
"Indoor swimming pools",1,"http://localhost:4000/browse/#indoor%20swimming%20pools"
"Men",2,"http://localhost:4000/browse/#men"
"Mine buildings",1,"http://localhost:4000/browse/#mine%20buildings"
"Mines (extracting complexes)",1,"http://localhost:4000/browse/#mines%20(extracting%20complexes)"
"Mining",1,"http://localhost:4000/browse/#mining"
"Photographic",1,"http://localhost:4000/browse/#photographic"
"Photographic postcards",2,"http://localhost:4000/browse/#photographic%20postcards"
"Picture postcards",7,"http://localhost:4000/browse/#picture%20postcards"
"Public buildings",3,"http://localhost:4000/browse/#public%20buildings"
"Schools",2,"http://localhost:4000/browse/#schools"
"Streetcars",1,"http://localhost:4000/browse/#streetcars"
"Swimming pools",1,"http://localhost:4000/browse/#swimming%20pools"
"Trees",5,"http://localhost:4000/browse/#trees"
"Universities",3,"http://localhost:4000/browse/#universities"
